NAME,Sample,Time,Flow,Temperature,Treatment,FlumeID,Run,Year,Succession,TAD,Primers,Type,ChlA,BA,pH,C25,O2,Temp,Turbidity,pCO2,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Sulfate,Lithium,Sodium,Ammonium,Magnesium,Potassium,Calcium,Strontium,PO4,NH4,NO3,NO2,DOC,Velocity
X88C_88C_NSE728.NSE522,Cc112022,11,Constant,control,Cc,24,41,2022,42,NA,16S,Biofilm ,2.666923278,24465800.87,8.355,367,9.69,8.5,47.5,432,11,314,3.5,2,328,78621.5,12,1262,17,8367.5,268.5,57032.5,659.5,NA,NA,NA,NA,128.7,0.224982639
B8_B8_N722.N511,Cc12021,1,Constant,control,Cc,23,27,2021,4,NA,16S,Biofilm ,0.012005917,1051376.207,8.507,388,9.98,7,11.2,NA,0.012,0.3225,0.002,0.0015,0.2865,89.1905,NA,1.286,NA,9.005,0.2665,67,0.778,NA,NA,NA,NA,127.33,
C16_C16_N724.N511,Cc12021,1,Constant,control,Cc,24,28,2021,4,NA,16S,Biofilm ,0.028992167,744098.23,8.507,382,NA,9.6,49.2,NA,0.012,0.329,0.001,0.002,0.3315,85.922,NA,1.3095,0.021,8.6545,0.2995,64.7615,0.769,NA,NA,NA,NA,143.67,
X8A_8A_NSE716.NSE511,Cc12022,1,Constant,control,Cc,22,37,2022,5,NA,16S,Biofilm ,0.062894111,1976118.326,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.224369624
X8B_8B_NSE716.NSE511,Cc12022,1,Constant,control,Cc,23,39,2022,5,NA,16S,Biofilm ,0.065046056,2727272.727,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.224369624
X8C_8C_NSE716.NSE522,Cc12022,1,Constant,control,Cc,24,41,2022,5,NA,16S,Biofilm ,0.031426333,2764790.765,8.323,288,9.71,8.4,13.46,562,10.5,188.5,6,2,332.5,53255,8,944,10.5,6392.5,221,49802.5,543.5,3.54,9.57,424.89,1.11,NA,0.224369624
X96A_96A_NSE716.NSE511,Cc122022,12,Constant,control,Cc,22,38,2022,47,NA,16S,Biofilm ,1.455519667,41461399.71,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.2216875
X96B_96B_NSE716.NSE511,Cc122022,12,Constant,control,Cc,23,40,2022,47,NA,16S,Biofilm ,2.440157722,34536580.09,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.2216875
X96C_96C_NSE716.NSE522,Cc122022,12,Constant,control,Cc,24,42,2022,47,NA,16S,Biofilm ,2.663959944,31260173.16,8.401,375,9.51,8.5,53.8,443,12,342,6,3,320.5,81717.5,10.5,1313,16,8721,298,63165.5,741,7.55,11.82,361.18,2.23,108.7,0.2216875
X104A_104A_NSE718.NSE511,Cc132022,13,Constant,control,Cc,22,38,2022,54,NA,16S,Biofilm ,1.763388833,45360173.16,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.221923333
X104B_104B_NSE718.NSE511,Cc132022,13,Constant,control,Cc,23,40,2022,54,NA,16S,Biofilm ,0.824647167,64821212.12,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.221923333
X104C_104C_NSE718.NSE522,Cc132022,13,Constant,control,Cc,24,42,2022,54,NA,16S,Biofilm ,0.755538,48962554.11,8.454,377,9.52,8.5,84.2,456,12,378,0,3,316.5,83712.5,8.5,1382,9,8745,245.5,63901,783.5,NA,NA,NA,NA,158.3,0.221923333
X112A_112A_NSE719.NSE511,Cc142022,14,Constant,control,Cc,22,38,2022,61,NA,16S,Biofilm ,0.956868278,55818181.82,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.223587732
X112B_112B_NSE719.NSE511,Cc142022,14,Constant,control,Cc,23,40,2022,61,NA,16S,Biofilm ,0.319963278,49716017.32,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.223587732
X112C_112C_NSE719.NSE522,Cc142022,14,Constant,control,Cc,24,42,2022,61,NA,16S,Biofilm ,0.942333833,11028138.53,8.39,373,9.42,9.6,82.1,581,12.5,409.5,7.5,3,343,82922,12,1395.5,18.5,8698,385,63430.5,748.5,NA,NA,NA,NA,204.7,0.223587732
X120A_120A_NSE720.NSE511,Cc152022,15,Constant,control,Cc,22,38,2022,67,NA,16S,Biofilm ,1.334058278,40895671,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.222765973
X120B_120B_NSE720.NSE511,Cc152022,15,Constant,control,Cc,23,40,2022,67,NA,16S,Biofilm ,0.454054111,29984415.58,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.222765973
X120C_120C_NSE720.NSE522,Cc152022,15,Constant,control,Cc,24,42,2022,67,NA,16S,Biofilm ,0.882749667,35440043.29,8.475,399,8.92,11.2,35.3,417,12,433.5,0.5,4,301.5,88450.5,13,1494,20.5,9294.5,321,64254.5,754,NA,NA,NA,NA,NA,0.222765973
X128A_128A_NSE721.NSE511,Cc162022,16,Constant,control,Cc,22,38,2022,75,NA,16S,Biofilm ,1.482260222,52831778.1,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.222766927
X128B_128B_NSE721.NSE511,Cc162022,16,Constant,control,Cc,23,40,2022,75,NA,16S,Biofilm ,0.762240778,42029220.78,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.222766927
X128C_128C_NSE721.NSE522,Cc162022,16,Constant,control,Cc,24,42,2022,75,NA,16S,Biofilm ,0.2897655,65053178.61,8.375,400,9.34,7.9,33,453,13,477,3.5,2,349,92114.5,10.5,1562.5,12.5,9475,393,68213,786.5,NA,NA,NA,NA,NA,0.222766927
X136A_136A_NSE722.NSE511,Cc172022,17,Constant,control,Cc,22,38,2022,82,NA,16S,Biofilm ,0.634782167,16848484.85,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.214611532
X136B_136B_NSE722.NSE511,Cc172022,17,Constant,control,Cc,23,40,2022,82,NA,16S,Biofilm ,0.883737444,18815728.72,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.214611532
X136C_136C_NSE722.NSE522,Cc172022,17,Constant,control,Cc,24,42,2022,82,NA,16S,Biofilm ,0.468271056,28896320.35,8.384,399,9.21,8.9,101,459,13.5,484.5,8.5,3.5,340.5,91920,12.5,1555.5,17,9345.5,329.5,67061.5,778,NA,NA,NA,NA,124.3,0.214611532
X144A_144A_NSE723.NSE511,Cc182022,18,Constant,control,Cc,22,38,2022,87,NA,16S,Biofilm ,0.837805778,21300072.15,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.221125
X144B_144B_NSE723.NSE511,Cc182022,18,Constant,control,Cc,23,40,2022,87,NA,16S,Biofilm ,0.780832167,23662265.51,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.221125
X144C_144C_NSE723.NSE522,Cc182022,18,Constant,control,Cc,24,42,2022,87,NA,16S,Biofilm ,0.372033278,22573160.17,8.431,406,9.73,8.3,42.7,452,13.5,531.5,6,2,356.5,92937.5,12,1609,10,9371,340.5,66991.5,739,5.13,15.39,383.04,1.84,131.3,0.221125
X152A_152A_NSE724.NSE511,Cc192022,19,Constant,control,Cc,22,38,2022,89,NA,16S,Biofilm ,0.980081056,17225901.88,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.214045139
X152B_152B_NSE724.NSE511,Cc192022,19,Constant,control,Cc,23,40,2022,89,NA,16S,Biofilm ,0.363249111,26664935.06,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.214045139
X152C_152C_NSE724.NSE522,Cc192022,19,Constant,control,Cc,24,42,2022,89,NA,16S,Biofilm ,1.272498556,16659523.81,7.851,399,9.55,8.7,58.5,483,13,529,3,3,315.5,91330.5,13.5,1597,10.5,9289.5,342,66266.5,775,NA,NA,NA,NA,139,0.214045139
X160A_160A_NSE726.NSE511,Cc202022,20,Constant,control,Cc,22,38,2022,91,NA,16S,Biofilm ,1.206035222,13564646.46,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.21984375
X160B_160B_NSE726.NSE511,Cc202022,20,Constant,control,Cc,23,40,2022,91,NA,16S,Biofilm ,0.978952167,43698484.85,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.21984375
X160C_160C_NSE726.NSE522,Cc202022,20,Constant,control,Cc,24,42,2022,91,NA,16S,Biofilm ,0.604796056,16688383.84,8.444,414,10.14,6.2,53.1,428,13,544.5,0,3,342.5,94724,11.5,1656.5,7.5,9762,358.5,69092,807.5,NA,NA,NA,NA,181.3,0.21984375
X168A_168A_NSE727.NSE511,Cc212022,21,Constant,control,Cc,22,38,2022,96,NA,16S,Biofilm ,0.595341611,22155122.66,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.22309375
X168B_168B_NSE727.NSE511,Cc212022,21,Constant,control,Cc,23,40,2022,96,NA,16S,Biofilm ,0.945297167,41638239.54,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.22309375
X168C_168C_NSE727.NSE522,Cc212022,21,Constant,control,Cc,24,42,2022,96,NA,16S,Biofilm ,1.173297444,22512770.56,8.314,396,9.48,9.3,133.7,497,15,580,4,3.5,338,91532,12.5,1622,38.5,9393,397,66062,798.5,NA,NA,NA,NA,208.7,0.22309375
A16_A16_N718.N511,Cc22021,2,Constant,control,Cc,22,27,2021,8,NA,16S,Biofilm ,0.063758417,1926006.06,8.394,359,9.89,9.2,9.6,NA,0.011,0.2305,0.0005,0.002,0.2865,78.4475,NA,1.107,NA,8.341,0.2435,61.0565,0.725,NA,NA,NA,NA,150.33,
B16_B16_N723.N511,Cc22021,2,Constant,control,Cc,23,27,2021,8,NA,16S,Biofilm ,0.058255083,5594852.64,8.394,368,10.17,6,11.6,NA,0.011,0.2545,0.0015,0.002,0.299,81.817,NA,1.142,0.0055,8.468,0.252,62.335,0.728,NA,NA,NA,NA,134.33,
C24_C24_N726.N511,Cc22021,2,Constant,control,Cc,24,28,2021,8,NA,16S,Biofilm ,0.138582583,11799332.94,8.394,379,NA,7.7,33.6,NA,0.012,0.3305,0.003,0.0025,0.326,86.4145,NA,1.2845,0.009,8.7505,0.28,65.484,0.808,NA,NA,NA,NA,178.67,
X16A_16A_NSE718.NSE511,Cc22022,2,Constant,control,Cc,22,37,2022,10,NA,16S,Biofilm ,0.15448,7184559.885,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.223027475
X16B_16B_NSE718.NSE511,Cc22022,2,Constant,control,Cc,23,39,2022,10,NA,16S,Biofilm ,0.14636,4263275.613,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.223027475
X16C_16C_NSE718.NSE522,Cc22022,2,Constant,control,Cc,24,41,2022,10,NA,16S,Biofilm ,0.15804,8215873.016,8.332,284,9.72,8.2,22.5,378,9,177.5,0,1,322.5,51763.5,8,933,16.5,6210,196,47208,497,NA,NA,NA,NA,113.4,0.223027475
X176A_176A_NSE728.NSE511,Cc222022,22,Constant,control,Cc,22,38,2022,103,NA,16S,Biofilm ,1.094628,18530158.73,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.221981647
X176B_176B_NSE728.NSE511,Cc222022,22,Constant,control,Cc,23,40,2022,103,NA,16S,Biofilm ,0.370692722,20222294.37,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.221981647
X176C_176C_NSE728.NSE522,Cc222022,22,Constant,control,Cc,24,42,2022,103,NA,16S,Biofilm ,0.385191889,22325901.88,8.473,442,10.88,2.7,7.6,524,14.5,631,3,3.5,352.5,104107,14.5,1818,13.5,10373,366,73904,870.5,NA,NA,NA,NA,175,0.221981647
A24_A24_N719.N511,Cc32021,3,Constant,control,Cc,22,27,2021,11,NA,16S,Biofilm ,0.170438417,1582241.08,8.437,360,9.83,6.9,9.2,NA,0.011,0.275,0.001,0.002,0.288,78.6775,NA,1.1085,0.0335,8.338,0.244,61.1495,0.7365,NA,NA,NA,NA,212.33,
B24_B24_N724.N511,Cc32021,3,Constant,control,Cc,23,27,2021,11,NA,16S,Biofilm ,0.107838,14787319.62,8.437,372,8.99,12.4,14.8,NA,0.011,0.27,0.002,0.002,0.266,83.7955,NA,1.191,0.0125,8.72,0.2935,63.753,0.8065,NA,NA,NA,NA,186.33,
C32_C32_N727.N511,Cc32021,3,Constant,control,Cc,24,28,2021,11,NA,16S,Biofilm ,0.086988833,9728133.5,8.437,363,9.42,8.8,165.2,NA,0.013,0.408,0.004,0.0015,0.3645,88.4185,NA,1.1755,0.008,8.2075,0.358,62.858,0.7605,NA,NA,NA,NA,884,
X24A_24A_NSE719.NSE511,Cc32022,3,Constant,control,Cc,22,37,2022,14,NA,16S,Biofilm ,0.377466056,9347546.898,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.223380066
X24B_24B_NSE719.NSE511,Cc32022,3,Constant,control,Cc,23,39,2022,14,NA,16S,Biofilm ,0.205628,9555916.306,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.223380066
X24C_24C_NSE719.NSE522,Cc32022,3,Constant,control,Cc,24,41,2022,14,NA,16S,Biofilm ,0.332874944,15232395.38,8.286,312,10.22,7,16.2,419,10,205.5,0,2.5,337.5,61866.5,7.5,1015.5,9,7036.5,226.5,52562,649,NA,NA,NA,NA,110.7,0.223380066
A32_A32_N720.N511,Cc42021,4,Constant,control,Cc,22,27,2021,16,NA,16S,Biofilm ,0.24071175,3983401.94,8.361,368,10.09,7.6,13.8,NA,0.011,0.257,0.0015,0.0025,0.2985,81.9025,NA,1.155,NA,8.5185,0.2525,62.7055,0.711,NA,NA,NA,NA,150,
B32_B32_N726.N511,Cc42021,4,Constant,control,Cc,23,27,2021,16,NA,16S,Biofilm ,0.20991425,5754960.86,8.361,373,9.04,10.6,15.4,NA,0.0115,0.271,0.003,0.0025,0.267,84.527,NA,1.1875,0.008,8.6985,0.2695,63.634,0.747,NA,NA,NA,NA,170.67,
C40_C40_N728.N511,Cc42021,4,Constant,control,Cc,24,28,2021,16,NA,16S,Biofilm ,0.158426333,13370521.04,8.361,363,9.42,8.8,165.2,NA,0.013,0.408,0.004,0.0015,0.3645,88.4185,NA,1.1755,0.008,8.2075,0.358,62.858,0.7605,NA,NA,NA,NA,884,
X32A_32A_NSE720.NSE511,Cc42022,4,Constant,control,Cc,22,37,2022,19,NA,16S,Biofilm ,0.488414667,11885858.59,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.224009449
X32B_32B_NSE720.NSE511,Cc42022,4,Constant,control,Cc,23,39,2022,19,NA,16S,Biofilm ,0.701280778,15642424.24,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.224009449
X32C_32C_NSE720.NSE522,Cc42022,4,Constant,control,Cc,24,41,2022,19,NA,16S,Biofilm ,0.739380778,19580158.73,8.13,314,10.9,6.9,24.9,445,11,214.5,2.5,2,419.5,61661,8.5,1031,9,6980,228,52482,603,NA,NA,NA,NA,159,0.224009449
B40_B40_N716.N511,Cc52021,5,Constant,control,Cc,23,28,2021,21,NA,16S,Biofilm ,0.317493833,15191510.04,8.447,387,10.08,7.8,11.6,NA,0.012,0.2915,0.0035,0.0015,0.3025,86.9325,NA,1.233,NA,8.829,0.263,65.435,0.76,NA,NA,NA,NA,119.33,
C48_C48_N729.N511,Cc52021,5,Constant,control,Cc,24,28,2021,21,NA,16S,Biofilm ,0.319081333,19654707.46,8.447,385,10.66,4.4,NA,NA,0.015,0.365,0.002,0.003,0.3345,86.814,NA,1.3275,0.012,8.9145,0.3265,66.3835,0.8095,NA,NA,NA,NA,171.33,
R1008.16S_R1008.16S_N719.N511,Cc52021,5,Constant,control,Cc,22,26,2021,21,NA,16S,Biofilm ,0.392370917,15417584.58,8.447,397,10.14,8.3,19.2,NA,0.0145,0.392,0.0015,0.002,0.327,92.6635,NA,1.365,0.0165,9.235,0.318,67.54,0.79,NA,NA,NA,NA,150.67,
X40A_40A_NSE721.NSE511,Cc52022,5,Constant,control,Cc,22,37,2022,24,NA,16S,Biofilm ,1.988319944,13312770.56,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.224097222
X40B_40B_NSE721.NSE511,Cc52022,5,Constant,control,Cc,23,39,2022,24,NA,16S,Biofilm ,0.994756611,20904329,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.224097222
X40C_40C_NSE721.NSE522,Cc52022,5,Constant,control,Cc,24,41,2022,24,NA,16S,Biofilm ,1.160773833,15942857.14,8.282,336,10,8.5,35.9,426,11,240,3.5,2,368.5,70182,7.5,1105.5,12,7593.5,209.5,56332,620,NA,NA,NA,NA,160,0.224097222
B48_B48_N721.N511,Cc62021,6,Constant,control,Cc,23,28,2021,25,NA,16S,Biofilm ,0.761147167,15398992.59,8.461,387,10.08,7.8,11.6,NA,0.012,0.2915,0.0035,0.0015,0.3025,86.9325,NA,1.233,NA,8.829,0.263,65.435,0.76,NA,NA,NA,NA,119.33,
C41_C41_N728.N502,Cc62021,6,Constant,control,Cc,24,29,2021,25,NA,16S,Biofilm ,0.507517583,7743130.696,8.461,352,9.56,8.8,292.8,NA,0.0135,0.4025,0.0025,0.0025,0.365,93.478,NA,1.197,0.0165,8.3885,0.36,65.2145,0.838,NA,NA,NA,NA,462,
R1016.16S_R1016.16S_N720.N511,Cc62021,6,Constant,control,Cc,22,26,2021,25,NA,16S,Biofilm ,0.589220917,12950966.01,8.461,397,10.02,6.6,21,NA,0.015,0.3875,0.0015,0.002,0.3335,92.8185,NA,1.3575,0.0095,9.1895,0.305,67.244,0.7985,NA,NA,NA,NA,200.67,
X48A_48A_NSE722.NSE511,Cc62022,6,Constant,control,Cc,22,37,2022,26,NA,16S,Biofilm ,0.971473278,15654689.75,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.221953125
X48B_48B_NSE722.NSE511,Cc62022,6,Constant,control,Cc,23,39,2022,26,NA,16S,Biofilm ,0.713486889,6441991.342,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.221953125
X48C_48C_NSE722.NSE522,Cc62022,6,Constant,control,Cc,24,41,2022,26,NA,16S,Biofilm ,0.7196605,22352236.65,8.277,348,10.56,6.5,18.2,335,11.5,250.5,0,2,351.5,73534.5,11,1125.5,11,7903.5,242,58692.5,675,4.66,12.29,476.12,1.07,102.7,0.221953125
B56_B56_N722.N511,Cc72021,7,Constant,control,Cc,23,28,2021,30,NA,16S,Biofilm ,0.9292105,53859912.62,8.384,387,10.44,5.6,13,NA,0.012,0.2965,0.003,0.0005,0.3085,88.4805,NA,1.2605,0.005,8.9275,0.273,66.2205,0.7915,NA,NA,NA,NA,123.33,
C49_C49_N729.N502,Cc72021,7,Constant,control,Cc,24,29,2021,30,NA,16S,Biofilm ,1.0257305,12987525.36,8.384,385,10.66,4.4,NA,NA,0.015,0.365,0.002,0.003,0.3345,86.814,NA,1.3275,0.012,8.9145,0.3265,66.3835,0.8095,NA,NA,NA,NA,171.33,
R1024.16S_R1024.16S_N726.N511,Cc72021,7,Constant,control,Cc,22,26,2021,30,NA,16S,Biofilm ,0.674258,26927817.56,8.384,397,10.02,6.6,21,NA,0.015,0.3875,0.0015,0.002,0.3335,92.8185,NA,1.3575,0.0095,9.1895,0.305,67.244,0.7985,NA,NA,NA,NA,200.67,
X56A_56A_NSE723.NSE511,Cc72022,7,Constant,control,Cc,22,37,2022,28,NA,16S,Biofilm ,1.216124667,11733203.06,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.222448257
X56B_56B_NSE723.NSE511,Cc72022,7,Constant,control,Cc,23,39,2022,28,NA,16S,Biofilm ,0.949777444,15533533.75,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.222448257
X56C_56C_NSE723.NSE522,Cc72022,7,Constant,control,Cc,24,41,2022,28,NA,16S,Biofilm ,0.555371889,7137197.371,8.404,356,10.27,7.6,28,441,11,262.5,2.5,1.5,329.5,75601.5,8.5,1162.5,14,8066,257,59678,677.5,NA,NA,NA,NA,110.3,0.222448257
C57_C57_N711.N502,Cc82021,8,Constant,control,Cc,24,29,2021,36,NA,16S,Biofilm ,0.680343417,46439675,8.459,385,10.6,4.5,NA,NA,0.015,0.367,0.001,0.002,0.342,86.839,NA,1.319,0.0125,8.737,0.3185,65.108,0.789,NA,NA,NA,NA,170.67,
C8_C8_N723.N511,Cc82021,8,Constant,control,Cc,23,28,2021,36,NA,16S,Biofilm ,0.651345083,28564090.29,8.459,399,10.38,4.9,7.2,NA,0.015,0.3885,0.001,0.002,0.3425,91.118,NA,1.37,0.0155,9.1815,0.3165,67.9435,0.8155,NA,NA,NA,NA,148,
