NAME,Sample,Flow,Temperature,Treatment,FlumeID,Time,Run,Year,Succession,TAD,Primers,Type,ChlA,BA,pH,C25,O2,Temp,Turbidity,pCO2,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Sulfate,Lithium,Sodium,Ammonium,Magnesium,Potassium,Calcium,Strontium,PO4,NH4,NO3,NO2,DOC
X124B_124B_NSE721.NSE517,Cw162022,Constant,warm,Cw,11,16,40,2022,75,NA,18S,Biofilm,0.576644389,59740997.27,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
X124C_124C_NSE721.NSE517,Cw162022,Constant,warm,Cw,12,16,42,2022,75,NA,18S,Biofilm,0.952881889,55036451.82,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
X12A_12A_NSE718.NSE517,Cw22022,Constant,warm,Cw,10,2,37,2022,10,NA,18S,Biofilm,0.11288,3930086.58,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X12B_12B_NSE718.NSE506,Cw22022,Constant,warm,Cw,11,2,39,2022,10,NA,18S,Biofilm,0.07129,2633405.483,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X12C_12C_NSE718.NSE517,Cw22022,Constant,warm,Cw,12,2,41,2022,10,NA,18S,Biofilm,0.1096,6651298.701,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X132A_132A_NSE722.NSE517,Cw172022,Constant,warm,Cw,10,17,38,2022,82,NA,18S,Biofilm,0.649210778,28283910.53,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X132B_132B_NSE722.NSE517,Cw172022,Constant,warm,Cw,11,17,40,2022,82,NA,18S,Biofilm,0.539073556,41627128.43,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X132C_132C_NSE722.NSE517,Cw172022,Constant,warm,Cw,12,17,42,2022,82,NA,18S,Biofilm,0.085542444,17163708.51,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X140A_140A_NSE723.NSE517,Cw182022,Constant,warm,Cw,10,18,38,2022,87,NA,18S,Biofilm,0.979657722,23605555.56,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X140B_140B_NSE723.NSE517,Cw182022,Constant,warm,Cw,11,18,40,2022,87,NA,18S,Biofilm,0.463614389,11928354.98,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X140C_140C_NSE723.NSE517,Cw182022,Constant,warm,Cw,12,18,42,2022,87,NA,18S,Biofilm,0.6371105,17297402.6,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X148A_148A_NSE724.NSE517,Cw192022,Constant,warm,Cw,10,19,38,2022,89,NA,18S,Biofilm,0.660323278,35830735.93,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X148B_148B_NSE724.NSE517,Cw192022,Constant,warm,Cw,11,19,40,2022,89,NA,18S,Biofilm,0.618624944,16733405.48,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X148C_148C_NSE724.NSE517,Cw192022,Constant,warm,Cw,12,19,42,2022,89,NA,18S,Biofilm,0.127523,6745670.996,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X156A_156A_NSE726.NSE517,Cw202022,Constant,warm,Cw,10,20,38,2022,91,NA,18S,Biofilm,0.896649111,23821861.47,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X156B_156B_NSE726.NSE517,Cw202022,Constant,warm,Cw,11,20,40,2022,91,NA,18S,Biofilm,0.385403556,25308225.11,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X156C_156C_NSE726.NSE517,Cw202022,Constant,warm,Cw,12,20,42,2022,91,NA,18S,Biofilm,0.341623833,58814285.71,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X164A_164A_NSE727.NSE517,Cw212022,Constant,warm,Cw,10,21,38,2022,96,NA,18S,Biofilm,1.586611889,18184343.43,8.146,397,9.44,11.5,156.6,503,13,546,4,4.5,341,91473,11,1622,15,9367,384.5,65606.5,766.5,8.15,15.4,371.8,1.73,203.7
X164B_164B_NSE727.NSE517,Cw212022,Constant,warm,Cw,11,21,40,2022,96,NA,18S,Biofilm,0.217798833,13580519.48,8.146,397,9.44,11.5,156.6,503,13,546,4,4.5,341,91473,11,1622,15,9367,384.5,65606.5,766.5,8.15,15.4,371.8,1.73,203.7
X164C_164C_NSE727.NSE517,Cw212022,Constant,warm,Cw,12,21,42,2022,96,NA,18S,Biofilm,0.868074111,21006493.51,8.146,397,9.44,11.5,156.6,503,13,546,4,4.5,341,91473,11,1622,15,9367,384.5,65606.5,766.5,8.15,15.4,371.8,1.73,203.7
X172A_172A_NSE728.NSE517,Cw222022,Constant,warm,Cw,10,22,38,2022,103,NA,18S,Biofilm,0.472998278,12712842.71,8.422,443,10.73,5,6.4,530,15,648.5,2.5,4,353.5,104209,11.5,1835.5,19.5,10368,344,73812.5,880,NA,NA,NA,NA,129.33
X172B_172B_NSE728.NSE517,Cw222022,Constant,warm,Cw,11,22,40,2022,103,NA,18S,Biofilm,0.5437655,25824891.77,8.422,443,10.73,5,6.4,530,15,648.5,2.5,4,353.5,104209,11.5,1835.5,19.5,10368,344,73812.5,880,NA,NA,NA,NA,129.33
X172C_172C_NSE728.NSE517,Cw222022,Constant,warm,Cw,12,22,42,2022,103,NA,18S,Biofilm,0.482064667,18867748.92,8.422,443,10.73,5,6.4,530,15,648.5,2.5,4,353.5,104209,11.5,1835.5,19.5,10368,344,73812.5,880,NA,NA,NA,NA,129.33
X20A_20A_NSE719.NSE517,Cw32022,Constant,warm,Cw,10,3,37,2022,14,NA,18S,Biofilm,0.369528556,8200649.351,8.263,314,10.13,9,27.2,452,11,205,2.5,2.5,341,61587.5,8,1006,7.5,7021.5,193.5,52345,627,16.28,13.25,460.5,3.25,114.3
X20B_20B_NSE719.NSE506,Cw32022,Constant,warm,Cw,11,3,39,2022,14,NA,18S,Biofilm,0.278899944,10127705.63,8.263,314,10.13,9,27.2,452,11,205,2.5,2.5,341,61587.5,8,1006,7.5,7021.5,193.5,52345,627,16.28,13.25,460.5,3.25,114.3
X20C_20C_NSE719.NSE517,Cw32022,Constant,warm,Cw,12,3,41,2022,14,NA,18S,Biofilm,0.203264389,4851443.001,8.263,314,10.13,9,27.2,452,11,205,2.5,2.5,341,61587.5,8,1006,7.5,7021.5,193.5,52345,627,16.28,13.25,460.5,3.25,114.3
X28A_28A_NSE720.NSE517,Cw42022,Constant,warm,Cw,10,4,37,2022,19,NA,18S,Biofilm,0.549868556,12903679.65,8.203,314,10.28,9.3,36.3,451,11,212.5,2,2,419.5,61483,8,1012,10,6945.5,228.5,52359,535,NA,NA,NA,NA,137.3
X28B_28B_NSE721.NSE506,Cw42022,Constant,warm,Cw,11,4,39,2022,19,NA,18S,Biofilm,0.358169111,11376911.98,8.203,314,10.28,9.3,36.3,451,11,212.5,2,2,419.5,61483,8,1012,10,6945.5,228.5,52359,535,NA,NA,NA,NA,137.3
X28C_28C_NSE720.NSE517,Cw42022,Constant,warm,Cw,12,4,41,2022,19,NA,18S,Biofilm,0.532300222,18222871.57,8.203,314,10.28,9.3,36.3,451,11,212.5,2,2,419.5,61483,8,1012,10,6945.5,228.5,52359,535,NA,NA,NA,NA,137.3
X36A_36A_NSE721.NSE517,Cw52022,Constant,warm,Cw,10,5,37,2022,24,NA,18S,Biofilm,0.681983833,12986002.89,8.326,338,9.94,10.9,35.7,537,11,242,0,2.5,364,69801,10,1096,11,7617.5,230,56536.5,618.5,NA,NA,NA,NA,191.3
X36B_36B_NSE722.NSE506,Cw52022,Constant,warm,Cw,11,5,39,2022,24,NA,18S,Biofilm,1.207552167,12699567.1,8.326,338,9.94,10.9,35.7,537,11,242,0,2.5,364,69801,10,1096,11,7617.5,230,56536.5,618.5,NA,NA,NA,NA,191.3
X36C_36C_NSE721.NSE517,Cw52022,Constant,warm,Cw,12,5,41,2022,24,NA,18S,Biofilm,0.914393833,11600577.2,8.326,338,9.94,10.9,35.7,537,11,242,0,2.5,364,69801,10,1096,11,7617.5,230,56536.5,618.5,NA,NA,NA,NA,191.3
X44A_44A_NSE722.NSE517,Cw62022,Constant,warm,Cw,10,6,37,2022,26,NA,18S,Biofilm,0.984384944,8199206.349,8.328,348,10.52,8.9,14.5,416,11.5,249,3,1.5,352,73308,11,1114,11.5,7843.5,231,58267.5,649,NA,NA,NA,NA,108
X44B_44B_NSE723.NSE506,Cw62022,Constant,warm,Cw,11,6,39,2022,26,NA,18S,Biofilm,1.010384667,24203463.2,8.328,348,10.52,8.9,14.5,416,11.5,249,3,1.5,352,73308,11,1114,11.5,7843.5,231,58267.5,649,NA,NA,NA,NA,108
X44C_44C_NSE722.NSE517,Cw62022,Constant,warm,Cw,12,6,41,2022,26,NA,18S,Biofilm,2.634432444,16320202.02,8.328,348,10.52,8.9,14.5,416,11.5,249,3,1.5,352,73308,11,1114,11.5,7843.5,231,58267.5,649,NA,NA,NA,NA,108
X4A_4A_NSE716.NSE517,Cw12022,Constant,warm,Cw,10,1,37,2022,5,NA,18S,Biofilm,0.039152167,1772471.741,8.279,288,9.78,10.8,25.57,474,10,190.5,5.5,1.5,338.5,53320.5,8,943,8,6371,212,49693,544,NA,NA,NA,NA,NA
X4B_4B_NSE716.NSE506,Cw12022,Constant,warm,Cw,11,1,39,2022,5,NA,18S,Biofilm,0.027334111,2519913.42,8.279,288,9.78,10.8,25.57,474,10,190.5,5.5,1.5,338.5,53320.5,8,943,8,6371,212,49693,544,NA,NA,NA,NA,NA
X4C_4C_NSE716.NSE517,Cw12022,Constant,warm,Cw,12,1,41,2022,5,NA,18S,Biofilm,0.068256333,881313.1313,8.279,288,9.78,10.8,25.57,474,10,190.5,5.5,1.5,338.5,53320.5,8,943,8,6371,212,49693,544,NA,NA,NA,NA,NA
X52A_52A_NSE723.NSE517,Cw72022,Constant,warm,Cw,10,7,37,2022,28,NA,18S,Biofilm,1.803676056,26359904.6,8.336,357,10.36,9.6,21.2,432,11,263,0,2,335,75400.5,14,1164,12,8141.5,252.5,60386.5,696.5,NA,NA,NA,NA,122.3
X52B_52B_NSE724.NSE506,Cw72022,Constant,warm,Cw,11,7,39,2022,28,NA,18S,Biofilm,1.167370778,31872530.86,8.336,357,10.36,9.6,21.2,432,11,263,0,2,335,75400.5,14,1164,12,8141.5,252.5,60386.5,696.5,NA,NA,NA,NA,122.3
X52C_52C_NSE723.NSE517,Cw72022,Constant,warm,Cw,12,7,41,2022,28,NA,18S,Biofilm,0.714968556,11393650.79,8.336,357,10.36,9.6,21.2,432,11,263,0,2,335,75400.5,14,1164,12,8141.5,252.5,60386.5,696.5,NA,NA,NA,NA,122.3
X60A_60A_NSE724.NSE517,Cw82022,Constant,warm,Cw,10,8,37,2022,33,NA,18S,Biofilm,1.468078556,14504256.85,8.344,362,10.02,11.4,24.9,448,11,282.5,0,1.5,337,77466.5,10.5,1195,18,8227,240,61023,678.5,NA,NA,NA,NA,80
X60B_60B_NSE726.NSE506,Cw82022,Constant,warm,Cw,11,8,39,2022,33,NA,18S,Biofilm,2.734233278,18161038.96,8.344,362,10.02,11.4,24.9,448,11,282.5,0,1.5,337,77466.5,10.5,1195,18,8227,240,61023,678.5,NA,NA,NA,NA,80
X60C_60C_NSE724.NSE517,Cw82022,Constant,warm,Cw,12,8,41,2022,33,NA,18S,Biofilm,1.135832444,15842544.49,8.344,362,10.02,11.4,24.9,448,11,282.5,0,1.5,337,77466.5,10.5,1195,18,8227,240,61023,678.5,NA,NA,NA,NA,80
X68A_68A_NSE726.NSE517,Cw92022,Constant,warm,Cw,10,9,37,2022,38,NA,18S,Biofilm,0.851246611,24990043.29,8.375,361,9.16,13.7,47.1,491,11,294,4,2,325,76707.5,9.5,1233.5,15,8357.5,287,61379,711,4.76,16.91,446.13,1.04,107.6
X68B_68B_NSE727.NSE506,Cw92022,Constant,warm,Cw,11,9,39,2022,38,NA,18S,Biofilm,1.556131889,20532828.28,8.375,361,9.16,13.7,47.1,491,11,294,4,2,325,76707.5,9.5,1233.5,15,8357.5,287,61379,711,4.76,16.91,446.13,1.04,107.6
X68C_68C_NSE726.NSE517,Cw92022,Constant,warm,Cw,12,9,41,2022,38,NA,18S,Biofilm,1.500004944,21572510.82,8.375,361,9.16,13.7,47.1,491,11,294,4,2,325,76707.5,9.5,1233.5,15,8357.5,287,61379,711,4.76,16.91,446.13,1.04,107.6
X76A_76A_NSE727.NSE517,Cw102022,Constant,warm,Cw,10,10,37,2022,40,NA,18S,Biofilm,1.538246056,34339898.99,8.409,358,9.06,13.3,66.3,424,11,303.5,3,2,313,77076.5,9,1236.5,6,8149.5,277,60189,693.5,NA,NA,NA,NA,157.3
X76B_76B_NSE728.NSE506,Cw102022,Constant,warm,Cw,11,10,39,2022,40,NA,18S,Biofilm,1.451356889,29224963.92,8.409,358,9.06,13.3,66.3,424,11,303.5,3,2,313,77076.5,9,1236.5,6,8149.5,277,60189,693.5,NA,NA,NA,NA,157.3
X76C_76C_NSE727.NSE517,Cw102022,Constant,warm,Cw,12,10,41,2022,40,NA,18S,Biofilm,1.430296056,25341486.29,8.409,358,9.06,13.3,66.3,424,11,303.5,3,2,313,77076.5,9,1236.5,6,8149.5,277,60189,693.5,NA,NA,NA,NA,157.3
X84A_84A_NSE728.NSE517,Cw112022,Constant,warm,Cw,10,11,37,2022,42,NA,18S,Biofilm,2.077608,11045959.6,8.273,367,9.49,10.9,50.5,483,11,317.5,4,2.5,332,78732,8.5,1274,NA,8387.5,249.5,59365.5,677,NA,NA,NA,NA,154.3
X84B_84B_NSE729.NSE506,Cw112022,Constant,warm,Cw,11,11,39,2022,42,NA,18S,Biofilm,1.655086056,26414618.33,8.273,367,9.49,10.9,50.5,483,11,317.5,4,2.5,332,78732,8.5,1274,NA,8387.5,249.5,59365.5,677,NA,NA,NA,NA,154.3
X84C_84C_NSE728.NSE517,Cw112022,Constant,warm,Cw,12,11,41,2022,42,NA,18S,Biofilm,3.438942167,23338528.14,8.273,367,9.49,10.9,50.5,483,11,317.5,4,2.5,332,78732,8.5,1274,NA,8387.5,249.5,59365.5,677,NA,NA,NA,NA,154.3
X92A_92A_NSE716.NSE517,Cw122022,Constant,warm,Cw,10,12,38,2022,47,NA,18S,Biofilm,4.371863,36981673.88,8.379,375,9.34,10.8,53.9,655,12,335.5,7,2,325.5,81561.5,12.5,1501.5,15.5,8781.5,273,63219,732,NA,NA,NA,NA,119
X92B_92B_NSE716.NSE517,Cw122022,Constant,warm,Cw,11,12,40,2022,47,NA,18S,Biofilm,3.989804667,46065873.02,8.379,375,9.34,10.8,53.9,655,12,335.5,7,2,325.5,81561.5,12.5,1501.5,15.5,8781.5,273,63219,732,NA,NA,NA,NA,119
X92C_92C_NSE716.NSE517,Cw122022,Constant,warm,Cw,12,12,42,2022,47,NA,18S,Biofilm,2.197905222,38963275.61,8.379,375,9.34,10.8,53.9,655,12,335.5,7,2,325.5,81561.5,12.5,1501.5,15.5,8781.5,273,63219,732,NA,NA,NA,NA,119
X106A_106A_NSE719.NSE515,Iw142022,Intermittent,warm,Iw,4,14,38,2022,61,24,18S,Biofilm,0.4866155,33236219.34,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X106B_106B_NSE719.NSE515,Iw142022,Intermittent,warm,Iw,5,14,40,2022,61,24,18S,Biofilm,0.322997167,46014935.06,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X106C_106C_NSE719.NSE515,Iw142022,Intermittent,warm,Iw,6,14,42,2022,61,24,18S,Biofilm,0.354500222,36931673.88,8.278,373,9.37,11.4,84.4,616,13,411,4.5,3.5,341.5,83634.5,11,1400.5,8,8732,392.5,63687,729,NA,NA,NA,NA,213
X10A_10A_NSE718.NSE515,Iw22022,Intermittent,warm,Iw,4,2,37,2022,10,NA,18S,Biofilm,0.15285,10838023.09,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X10B_10B_NSE718.NSE503,Iw22022,Intermittent,warm,Iw,5,2,39,2022,10,NA,18S,Biofilm,0.07358,10838167.39,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X10C_10C_NSE718.NSE515,Iw22022,Intermittent,warm,Iw,6,2,41,2022,10,NA,18S,Biofilm,0.11839,3802886.003,8.308,285,9.71,10.7,25.2,428,9.5,177,6,1.5,324.5,51944.5,8.5,917,11,6216.5,180.5,47290.5,499.5,NA,NA,NA,NA,103
X114A_114A_NSE720.NSE515,Iw152022,Intermittent,warm,Iw,4,15,38,2022,67,30,18S,Biofilm,0.568918556,44979942.28,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X114B_114B_NSE720.NSE515,Iw152022,Intermittent,warm,Iw,5,15,40,2022,67,30,18S,Biofilm,0.915064111,36308802.31,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X114C_114C_NSE720.NSE515,Iw152022,Intermittent,warm,Iw,6,15,42,2022,67,30,18S,Biofilm,0.406393833,42740909.09,8.393,399,8.95,13.6,31.1,445,12,459.5,12.5,3.5,308.5,89604,13.5,1688,22.5,9432,1129,65424,774,9.62,15.12,304.96,2.33,NA
X122A_122A_NSE721.NSE515,Iw162022,Intermittent,warm,Iw,4,16,38,2022,75,38,18S,Biofilm,0.948436889,62379617.6,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
X122B_122B_NSE721.NSE515,Iw162022,Intermittent,warm,Iw,5,16,40,2022,75,38,18S,Biofilm,1.142641056,64939782.75,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
X122C_122C_NSE721.NSE515,Iw162022,Intermittent,warm,Iw,6,16,42,2022,75,38,18S,Biofilm,1.479684944,90969203.94,8.339,400,9.33,9.9,38.8,366,13,465.5,4.5,4,339.5,93003.5,10.5,1556.5,29.5,9504.5,383,67349,831.5,NA,NA,NA,NA,NA
X130A_130A_NSE722.NSE515,Iw172022,Intermittent,warm,Iw,4,17,38,2022,82,45,18S,Biofilm,0.984067444,40819480.52,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X130B_130B_NSE722.NSE515,Iw172022,Intermittent,warm,Iw,5,17,40,2022,82,45,18S,Biofilm,0.603914111,32748412.7,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X130C_130C_NSE722.NSE515,Iw172022,Intermittent,warm,Iw,6,17,42,2022,82,45,18S,Biofilm,1.055716611,23339249.64,8.368,400,9.38,10.7,90.8,516,13.5,476,9.5,3.5,336,90289.5,10.5,1579.5,10.5,9387.5,336.5,67299.5,782.5,NA,NA,NA,NA,205
X138A_138A_NSE723.NSE515,Iw182022,Intermittent,warm,Iw,4,18,38,2022,87,1,18S,Biofilm,1.244417444,29770887.45,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X138B_138B_NSE723.NSE515,Iw182022,Intermittent,warm,Iw,5,18,40,2022,87,1,18S,Biofilm,0.507323556,38692568.54,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X138C_138C_NSE723.NSE515,Iw182022,Intermittent,warm,Iw,6,18,42,2022,87,1,18S,Biofilm,0.698846611,13782467.53,8.409,406,9.06,10.8,44.4,442,14,536,6,3.5,311.5,92376,11,1587.5,7,9333.5,338,66582,839,NA,NA,NA,NA,186
X146A_146A_NSE724.NSE515,Iw192022,Intermittent,warm,Iw,4,19,38,2022,89,3,18S,Biofilm,0.848812444,40904761.9,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X146B_146B_NSE724.NSE515,Iw192022,Intermittent,warm,Iw,5,19,40,2022,89,3,18S,Biofilm,0.7698255,57582972.58,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X146C_146C_NSE724.NSE515,Iw192022,Intermittent,warm,Iw,6,19,42,2022,89,3,18S,Biofilm,0.560310778,30470634.92,8.288,402,9.4,10.6,78.9,520,13,564,8,4,316.5,91290,12.5,1651.5,15,9337.5,336,66692,778.5,NA,NA,NA,NA,174.7
X154A_154A_NSE726.NSE515,Iw202022,Intermittent,warm,Iw,4,20,38,2022,91,5,18S,Biofilm,1.005551611,43234992.78,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X154B_154B_NSE726.NSE515,Iw202022,Intermittent,warm,Iw,5,20,40,2022,91,5,18S,Biofilm,0.457440778,48890259.74,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X154C_154C_NSE726.NSE515,Iw202022,Intermittent,warm,Iw,6,20,42,2022,91,5,18S,Biofilm,0.833396056,34364646.46,8.429,416,9.99,8,52.1,484,13,562.5,6.5,2.5,347.5,95321,13.5,1671.5,10.5,9626.5,357,68400,797,NA,NA,NA,NA,204.7
X162A_162A_NSE727.NSE515,Iw212022,Intermittent,warm,Iw,4,21,38,2022,96,10,18S,Biofilm,0.761323556,37882756.13,8.146,397,9.44,11.5,156.6,503,13,546,4,4.5,341,91473,11,1622,15,9367,384.5,65606.5,766.5,8.15,15.4,371.8,1.73,203.7
X162B_162B_NSE727.NSE515,Iw212022,Intermittent,warm,Iw,5,21,40,2022,96,10,18S,Biofilm,0.381558278,50816810.97,8.146,397,9.44,11.5,156.6,503,13,546,4,4.5,341,91473,11,1622,15,9367,384.5,65606.5,766.5,8.15,15.4,371.8,1.73,203.7
